shadow-utils	4.9-15.el9.x86_64
slang	2.3.2-11.el9.x86_64
snappy	1.1.8-8.el9.0.1.x86_64
sqlite-libs	3.34.1-9.el9_7.x86_64
squashfs-tools	4.4-10.git1.el9.x86_64
sssd-client	2.9.7-4.el9_7.1.x86_64
sssd-common	2.9.7-4.el9_7.1.x86_64
sssd-kcm	2.9.7-4.el9_7.1.x86_64
sudo	1.9.5p2-13.el9.x86_64
sysstat	12.5.4-9.el9.x86_64
systemd	252-55.el9_7.7.rocky.0.1.x86_64
systemd-libs	252-55.el9_7.7.rocky.0.1.x86_64
systemd-pam	252-55.el9_7.7.rocky.0.1.x86_64
systemd-rpm-macros	252-55.el9_7.7.rocky.0.1.noarch
systemd-udev	252-55.el9_7.7.rocky.0.1.x86_64
tar	1.34-9.el9_7.x86_64
teamd	1.31-16.el9_1.x86_64
telnet	0.17-85.el9.x86_64
tpm2-tss	3.2.3-1.el9.x86_64
tuned	2.26.0-1.el9.noarch
tzdata	2025c-1.el9.noarch
userspace-rcu	0.12.1-6.el9.x86_64
util-linux	2.37.4-21.el9_7.x86_64
util-linux-core	2.37.4-21.el9_7.x86_64
vim-common	8.2.2637-23.el9_7.x86_64
vim-enhanced	8.2.2637-23.el9_7.x86_64
vim-filesystem	8.2.2637-23.el9_7.noarch
vim-minimal	8.2.2637-23.el9_7.x86_64
virt-what	1.27-2.el9.x86_64
wget	1.21.1-8.el9_4.x86_64
which	2.21-30.el9_6.x86_64
xfsprogs	6.4.0-7.el9.x86_64
xz	5.2.5-8.el9_0.x86_64
xz-libs	5.2.5-8.el9_0.x86_64
yum	4.14.0-31.el9.rocky.0.1.noarch
yum-utils	4.3.0-24.el9_7.noarch
zlib	1.2.11-40.el9.x86_64
zlib-devel	1.2.11-40.el9.x86_64
